file,energy_0,homogenity_0,entrophy_0,contrast_0,energy_45,homogenity_45,entrophy_45,contrast_45,energy_90,homogenity_90,entrophy_90,contrast_90,energy_135,homogenity_135,entrophy_135,contrast_135
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.11.jpg,0.0005712552318659374,338.57037401574445,8.223003118440566,337.5703740157464,0.0005353214252835553,401.24750449501005,8.313560665823278,400.24750449500795,0.0007674161466487071,214.2854330708635,7.946482276956434,213.2854330708637,0.0005264725018878967,459.1825283650563,8.304662516026806,458.1825283650573
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.12.jpg,0.0005735106074704276,314.4480191929108,8.209359653829791,313.44801919291234,0.0005543858195410782,348.41670283340346,8.258206030554513,347.416702833405,0.0008827998002675662,118.74710875984145,7.7728375001184205,117.7471087598413,0.0005401994807957812,350.2360344720678,8.26965878625195,349.23603447206864
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.13.jpg,0.000544603201022799,318.07191190944684,8.221412140254571,317.0719119094466,0.0005207372309468569,351.02622605245284,8.27562305680762,350.026226052453,0.0008355939563441621,127.56453001968411,7.792819187042422,126.56453001968356,0.0005037620590462384,357.52284704569365,8.288835556886736,356.52284704569314
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.14.jpg,0.0007696847669086078,308.07837106298774,7.991111616194984,307.07837106299075,0.0007185291201136012,317.0582181164375,8.058084682166038,316.0582181164353,0.001044940871620033,120.70847687007793,7.653675466907291,119.70847687007755,0.000704396597583564,375.55310310620564,8.063624827040409,374.5531031062063
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.15.jpg,0.0006866540222338366,324.36515748031167,8.079789055672547,323.365157480313,0.0006446087044322316,333.72354144708186,8.14219451841604,332.7235414470822,0.0009274607782614105,132.7455093503932,7.768198220406661,131.7455093503924,0.0006410798983170208,396.4464628929247,8.136207936835934,395.4464628929259
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.16.jpg,0.0006718994761231755,410.0458907480288,8.14311146625873,409.0458907480296,0.0006418371693461016,394.5411990823979,8.19002707137391,393.54119908239613,0.0010204325828573624,136.45497047244046,7.698770600008241,135.45497047243921,0.0006245563982230852,482.44950089900175,8.19420435279226,481.4495008989984
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.17.jpg,0.0006569803178668874,408.31200787401366,8.153459217422487,407.3120078740159,0.000622634390535062,391.2300204600407,8.195014632633091,390.2300204600406,0.0010158575004650127,131.281373031496,7.698139289726036,130.2813730314951,0.0006039716958843582,477.9383098766195,8.206893420139112,476.9383098766182
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.18.jpg,0.00048077342248432887,358.22477854330594,8.272779254733342,357.2247785433068,0.0004644435477723215,364.04836009671953,8.30109371960977,363.0483600967182,0.0008602763177206046,116.0585629921254,7.706684071021525,115.05856299212479,0.0004562384969521574,390.8866017732012,8.323182420526376,389.886601773202
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.19.jpg,0.0004932536720542063,378.79890501968373,8.252420420824254,377.79890501968384,0.00047484929739527687,363.40008680017314,8.284604416702827,362.4000868001745,0.0008761244939482078,127.1173105314955,7.706499385832275,126.1173105314947,0.00047090149360408477,417.4932109864212,8.290862020410653,416.49321098642133
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.2.jpg,0.00026456199152631577,933.8841658464536,8.825369826496313,932.8841658464619,0.0002480946743777104,1080.6102052204153,8.880797633056785,1079.6102052204112,0.00048535607325120056,290.5020300196798,8.253111775786195,289.50203001968475,0.0002487769871069557,942.9252898505821,8.868285189006809,941.9252898505775
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.20.jpg,0.0003613350122207815,297.8206200787388,8.546770358670727,296.82062007873947,0.0003483850355387545,398.00037200074337,8.634614702086363,397.00037200074104,0.0005363252914005728,146.86897145669153,8.155113396333826,145.86897145669244,0.0003254266537053386,381.3069006138034,8.656878230223203,380.3069006138003
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.21.jpg,0.000362317008813682,293.3882258858263,8.545027987925188,292.38822588582474,0.0003438529414103926,381.9974579949178,8.63987819526367,380.9974579949125,0.0005328911414658669,133.48548228346252,8.143454351369897,132.48548228346334,0.00032249174796572554,371.5562651125324,8.658496919387892,370.5562651125286
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.22.jpg,0.0002937834855161786,338.31674458661354,8.612147537463681,337.3167445866153,0.00026873319293169737,508.89050778101745,8.709871807698349,507.8905077810143,0.0004348144682617395,232.15674212598051,8.208327993424438,231.15674212598407,0.00026590784163030593,526.2575485150987,8.733853913528465,525.2575485150967
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.23.jpg,0.0003229557850717114,260.83772145669224,8.525704703033462,259.8377214566939,0.00028080916723553925,420.18271436542807,8.690548138265966,419.1827143654269,0.00045460387551633455,203.98554379921012,8.21164023881516,202.98554379921333,0.00027417439669648395,426.1956103912231,8.713305253413536,425.1956103912185
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.24.jpg,0.0003390215520665217,170.88447342519586,8.451917347331065,169.8844734251968,0.0002626904007605691,383.15338830677865,8.704173474669968,382.15338830677416,0.0003363139660849488,280.4988312007846,8.479701902145093,279.49883120078766,0.0002517849291387318,360.7252154504337,8.715591373558674,359.72521545042827
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.25.jpg,0.00034361177120789373,154.41627706692765,8.466186920541828,153.41627706692796,0.00026241363165348404,318.02318804637684,8.712768418162382,317.02318804637264,0.00033493841401743216,238.1374876968474,8.476630466085203,237.137487696851,0.0002560863823445184,312.925785851575,8.706643165439022,311.92578585157116
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.26.jpg,0.0003560371500625636,155.0580093503922,8.414194258097918,154.05800935039295,0.00027997693790664013,341.16095232190486,8.6614088182012,340.1609523219053,0.000381739349904465,252.31311515747825,8.37794721421357,251.31311515748195,0.00027430317121160316,340.9342178684397,8.655721727626094,339.93421786843527
/content/drive/MyDrive/dataset_fix/train/undakan/undakan.27.jpg,0.0003524308196077246,188.09990157480075,8.429182624332139,187.09990157480328,0.0003062084988327728,368.89838179676644,8.58104855160677,367.8983817967605,0.00041763047393281514,262.74317175196694,8.290982746924053,261.7431717519686,0.0003173772855078729,425.0491660983345,8.584623335550251,424.0491660983288
